Date,daily_return,USDJPY,USDEUR,USDGBP,USDAUD,USDCAD,USDCHF,USDNZD,USDSGD,USDZAR
2010-01-01,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-04,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-05,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-06,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-07,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-08,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-11,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-12,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-13,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-14,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-15,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-18,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-19,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-20,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-21,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-22,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-25,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-26,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-27,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-28,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-01-29,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-01,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-02,-0.009519977456795337,0,0,0,-1.0,1.0,0,0,0,0
2010-02-03,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-04,-0.005656119131765447,0,0,0,-1.0,1.0,0,0,0,0
2010-02-05,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-08,-0.00247006172867259,0,0,0,-1.0,1.0,0,0,0,0
2010-02-09,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-10,-0.00566215149556093,0,0,0,-1.0,1.0,0,0,0,0
2010-02-11,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-12,-0.0008303195002166142,0,0,0,-1.0,1.0,0,0,0,0
2010-02-15,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-16,0.0078491858046158,0,0,0,-1.0,1.0,0,0,0,0
2010-02-17,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-18,-0.006226966197049988,0,0,0,-1.0,1.0,0,0,0,0
2010-02-19,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-22,0.0030667807474100695,0,0,0,-1.0,1.0,0,0,0,0
2010-02-23,0.004000138869424408,0,0,0,-1.0,1.0,0,0,0,0
2010-02-24,-0.00039447284142668515,0,0,0,-1.0,1.0,0,0,0,0
2010-02-25,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-02-26,0.0016006263907697438,0,0,0,-1.0,1.0,0,0,0,0
2010-03-01,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-02,-0.0016633485535190173,0,0,0,-1.0,1.0,0,0,0,0
2010-03-03,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-04,-0.00664651939815919,0,0,0,-1.0,1.0,0,0,0,0
2010-03-05,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-08,-0.00042090011520323767,0,0,0,-1.0,1.0,0,0,0,0
2010-03-09,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-10,-0.0030112566183575495,0,0,0,-1.0,1.0,0,0,0,0
2010-03-11,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-12,-0.005226791615451254,0,0,0,-1.0,1.0,0,0,0,0
2010-03-15,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-16,0.0003511931615116648,0,0,0,-1.0,1.0,0,0,0,0
2010-03-17,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-18,0.0008721299448315456,0,0,0,-1.0,1.0,0,0,0,0
2010-03-19,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-22,0.0028702962170327195,0,0,0,-1.0,1.0,0,0,0,0
2010-03-23,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-24,0.00034651886355496764,0,0,0,-1.0,1.0,0,0,0,0
2010-03-25,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-26,-0.0021232888248161608,0,0,0,-1.0,1.0,0,0,0,0
2010-03-29,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-03-30,-0.0003427758171292705,0,0,0,-1.0,1.0,0,0,0,0
2010-03-31,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-01,-0.001694350875269257,0,0,0,-1.0,1.0,0,0,0,0
2010-04-02,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-05,-0.006836813060294156,0,0,0,-1.0,1.0,0,0,0,0
2010-04-06,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-07,0.002747442533087785,0,0,0,-1.0,1.0,0,0,0,0
2010-04-08,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-09,0.005729715951125369,0,0,0,-1.0,1.0,0,0,0,0
2010-04-12,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-13,0.00018612789260830098,0,0,0,-1.0,1.0,0,0,0,0
2010-04-14,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-15,0.0014532977742116593,0,0,0,-1.0,1.0,0,0,0,0
2010-04-16,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-19,0.002880292764342096,0,0,0,-1.0,1.0,0,0,0,0
2010-04-20,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-21,-0.002995674415523286,0,0,0,-1.0,1.0,0,0,0,0
2010-04-22,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-23,-0.0002815318315307902,0,0,0,-1.0,1.0,0,0,0,0
2010-04-26,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-27,0.0032497490067588952,0,0,0,-1.0,1.0,0,0,0,0
2010-04-28,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-04-29,0.0006183584230431416,0,0,0,-1.0,1.0,0,0,0,0
2010-04-30,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-03,-0.004853106057313039,0,0,0,-1.0,1.0,0,0,0,0
2010-05-04,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-05,0.0025676346715148846,0,0,0,-1.0,1.0,0,0,0,0
2010-05-06,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-07,-0.007058326361009559,0,0,0,-1.0,1.0,0,0,0,0
2010-05-10,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-11,-0.011773290493878541,0,0,0,-1.0,1.0,0,0,0,0
2010-05-12,-0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-13,0.002910250640780432,0,0,0,-1.0,1.0,0,0,0,0
2010-05-14,0.0,0,0,0,0.0,0.0,0,0,0,0
2010-05-17,-0.012057929475438711,0,0,0,-1.0,1.0,0,0,0,0
